SPECCD_ID,SCIENTIFIC,COMMON,MARFIS_CODE,MARFIS_COMM,,SPECIES_CODE,SPECIES_NAME,,,,,
1,ALUTERUS SCHOEPFI,ORANGE FILEFISH,,,,101,ROCK COD,,,,,
2,ALUTERUS SCRIPTUS,"FILEFISH,SCRAWLED",,,,103,LING COD,,,,,
3,BALISTES CAPRISCUS,GRAY TRIGGERFISH,,,,117,BEAKED REDFISH,,,,,
4,BALISTES VETULA,QUEEN TRIGGERFISH,,,,118,ACADIAN REDFISH,,,,,
5,MONACANTHUS CILIATUS,FRINGED FILEFISH,,,,166,BUTTER FISH/DOLLARFISH,,,,,
6,STEPHANOLEPIS HISPIDUS,PLANEHEAD FILEFISH,,,,174,CATFISH,,,,,
7,MENTICIRRHUS SAXATILIS,NORTHERN KINGFISH,,,,178,SAND EELS/SANDLANCE,,,,,
8,BOTHUS SP.,BOTHUS SP.,,,,181,SCULPIN,,,,,
9,ENGRAULIS EURYSTOLE,SILVER ANCHOVY,,,,183,OCEAN POUT/EEL POUT,,,, ,
10,GADUS MORHUA,COD(ATLANTIC),100,COD,,184,CHIMAERA,,,,,
11,MELANOGRAMMUS AEGLEFINUS,HADDOCK,110,HADDOCK,,186,SNAKEBLENY/ROCK EEL,,,,,
12,UROPHYCIS TENUIS,WHITE HAKE,171,WHITE HAKE,,187,CATFISH NORTHERN,,,,,
13,UROPHYCIS CHUSS,SQUIRREL OR RED HAKE,180,RED HAKE,,188,BLUE HAKE,,,,,
14,MERLUCCIUS BILINEARIS,SILVER HAKE,172,SILVER HAKE,,190,TILEFISH,,,,,
15,BROSME BROSME,CUSK,173,CUSK,,198,SCALEFISH,,,,,
16,POLLACHIUS VIRENS,POLLOCK,170,POLLOCK,,199,"GROUNDFISH, UNSPECIFIED",,,,,
17,MICROGADUS TOMCOD,TOMCOD(ATLANTIC),175,TOMCOD,,202,HERRING/MACKEREL,,,,,
18,GADIFORMES,HAKE (NS),,,,215,ANCHOVY,,,,,
19,MERLUCCIUS ALBIDUS,OFF-SHORE HAKE,,,,257,"TUNA, RESTRICTED",,,,,
20,SEBASTES MARINUS,REDFISH,,,,259,"TUNA, UNSPECIFIED",,,,,
21,SEBASTES MENTELLA,"REDFISH, DEEP WATER",,,,260,BILLFISH,,,,,
22,BONAPARTIA PEDIOLOTA,BONAPARTIA PEDIOLOTA,,,,263,MAHI MAHI (DOLPHIN),,,,,
23,SEBASTES SP.,REDFISH UNSEPARATED,120,REDFISH,,299,"PELAGIC, UNSPECIFIED",,,,,
24,MORONE SAXATILIS,STRIPED BASS,358,STRIPED BASS,,352,EEL,,,,,
25,LOPHOLATILUS CHAMAELEONTICEPS,TILE FISH,,,,353,ELVERS,,,,,
26,SCORPAENA CALCARATA,SMOOTHHEAD SCORPIONFISH,,,,357,SMELTS,,,,,
27,LEPIDOCYBIUM FLAVOBRUNNEUM,ESCOLAR,270,ESCOLAR,,359,STURGEON,,,,,
28,NEALOTUS TRIPES,NEALOTUS TRIPES,,,,363,TROUT,,,,,
29,RUVETTUS PRETIOSUS,OILFISH,,,,365,WHITE PERCH,,,,,
30,HIPPOGLOSSUS HIPPOGLOSSUS,HALIBUT(ATLANTIC),130,HALIBUT,,366,PICKEREL,,,,,
31,REINHARDTIUS HIPPOGLOSSOIDES,"TURBOT,GREENLAND HALIBUT",144,GREENLAND HALIBUT/TURBOT,,367,"SUCKERS (MULLET, ETC)",,,,,
32,TETRAPTERUS ALBIDUS,WHITE MARLIN,262,MARLIN WHITE,,368,WHITEFISH,,,,,
33,MAKAIRA NIGRICANS,BLUE MARLIN,261,MARLIN BLUE,,376,"SHARK, HAMMERHEAD",,,,,
34,ENGRAULIDAE F.,ANCHOVIES,,,,379,"SHARK, UNSPECIFIED",,,,,
35,MERLUCCIUS SP.,HAKE,,,,385,BARRACUDINA,,,,,
36,LABRIDAE F.,WRASSES,,,,388,"TROUT, RAINBOW/STEELHEAD",,,,,
37,ECHIODON DAWSONI,"PEARLFISH,CHAIN",,,,394,NETDEVIL ANGLERFISH,,,,,
38,PSEUDOSCOPELUS SP.,SWALLOWERS,,,,399,OTHER FIN FISH UNSPECIFIED,,,,,
39,CHIASMODON NIGER,BLACK SWALLOWER,,,,401,MARINE WORM,,,,,
40,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE,140,AMERICAN PLAICE,,602,"CLAMS, QUAHAUGS",,,,,
41,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER,142,GREYSOLE/WITCH,,603,"CLAMS, RAZOR",,,,,
42,LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER,141,YELLOWTAIL,,604,"CLAMS, DEPURATED",,,,,
43,PSEUDOPLEURONECTES AMERICANUS,WINTER FLOUNDER,143,WINTER FLOUNDER,,606,"CLAMS, PROPELLOR",,,,,
44,CITHARICHTHYS ARCTIFRONS,GULF STREAM FLOUNDER,,,,610,MUSSELS,,,,,
45,BOTHUS OCELLATUS,EYED FLOUNDER,,,,611,"OYSTERS, AMERICAN",,,,,
46,SPHYRAENA BOREALIS,NORTHERN SENNET,,,,613,"SQUID, ILLEX",,,,,
47,MUGIL CUREMA,WHITE MULLET,,,,620,MOONSNAILS,,,,,
48,MUGIL CEPHALUS,STRIPED MULLET,,,,622,"SCALLOP, ROE",,,,,
49,PLEURONECTIDAE F.,FLOUNDER UNIDENTIFIED,149,"FLOUNDER, UNSPECIFIED",,623,SEA SCALLOP MEAT WITH ROE,,,,,
50,ANARHICHAS LUPUS,STRIPED ATLANTIC WOLFFISH,192,"WOLFFISH, STRIPED",,626,"SQUID, UNSPECIFIED",,,,,
51,ANARHICHAS MINOR,SPOTTED WOLFFISH,193,"WOLFFISH, SPOTTED",,627,"SQUID, RED; LOLLIGO",,,,,
52,ANARHICHAS DENTICULATUS,NORTHERN WOLFFISH,191,"WOLFFISH, NORTHERN",,699,MOLLUSCS UNSPECIFIED,,,,,
53,TAUTOGA ONITIS,TAUTOG,,,,701,"CRAB, SPIDER/TOAD",,,,,
54,ABUDEFDUF SAXATILIS,SERGEANT MAJOR,,,,707,"CRAB, UNSPECIFIED",,,,,
55,MOLVA MOLVA,EUROPEAN LING,,,,713,"SHRIMP, PINK GLASS",,,,, 
56,MOLVA DYPTERYGIA,BLUE LING,,,,720,"SHRIMP, UNSPECIFIED",,,,,
57,PHYCINAE S.F.,PHYCINAE S.F.,,,,742,OFFSHORE/MULTI CRABS (LIC ONLY),,,,,
58,ANCHOA HEPSETUS,STRIPED ANCHOVY,,,,743,JONAH/ROCK,,,,,
59,ANARHICHADIDAE F.,"WOLFFISH,UNIDENT.",194,"WOLFFISH, UNSPECIFIED",,799,"CRUSTACEANS, UNSPECIFIED",,,,,
