"","SPECIES_CODE","SPECIES_NAME"
"1",998,"FINFISH"
"2",997,"INVERTEBRATES"
"3",958,"GEODUCKS"
"4",996,"MUSKELLUNGE"
"5",353,"ELVERS"
"6",884,"NORTHERN BOTTLENOSE WHALE"
"7",995,"ARCTIC CHARR"
"8",100,"COD"
"9",101,"ROCK COD"
"10",102,"ARCTIC COD"
"11",103,"LING COD"
"12",110,"HADDOCK"
"13",120,"REDFISH"
"14",121,"CUNNER"
"15",130,"HALIBUT"
"16",140,"AMERICAN PLAICE"
"17",141,"YELLOWTAIL"
"18",142,"GREYSOLE/WITCH"
"19",143,"WINTER FLOUNDER"
"20",144,"GREENLAND HALIBUT/TURBOT"
"21",145,"WINDOWPANE"
"22",149,"FLOUNDER, UNSPECIFIED"
"23",160,"SKATE"
"24",161,"DOGFISH"
"25",162,"DOGFISH, BLACK"
"26",166,"BUTTER FISH/DOLLARFISH"
"27",170,"POLLOCK"
"28",171,"WHITE HAKE"
"29",172,"SILVER HAKE"
"30",173,"CUSK"
"31",174,"CATFISH"
"32",175,"TOMCOD"
"33",176,"LUMPFISH"
"34",177,"MONKFISH"
"35",178,"SAND EELS/SANDLANCE"
"36",179,"ROUNDNOSE GRENADIER"
"37",180,"RED HAKE"
"38",181,"SCULPIN"
"39",182,"ROUGHHEAD GRENADIER"
"40",183,"OCEAN POUT/EEL POUT"
"41",184,"CHIMAERA"
"42",185,"WRYMOUTH"
"43",186,"SNAKEBLENY/ROCK EEL"
"44",187,"CATFISH NORTHERN"
"45",188,"BLUE HAKE"
"46",190,"TILEFISH"
"47",192,"WOLFFISH, STRIPED"
"48",197,"HAGFISH (SLIME EEL)"
"49",198,"SCALEFISH"
"50",199,"GROUNDFISH, UNSPECIFIED"
"51",200,"HERRING"
"52",210,"MENHADEN"
"53",215,"ANCHOVY"
"54",250,"MACKEREL"
"55",251,"SWORDFISH"
"56",252,"TUNA, ALBACORE"
"57",253,"TUNA, BIGEYE"
"58",254,"TUNA, BLUEFIN"
"59",255,"TUNA, SKIPJACK"
"60",256,"TUNA, YELLOWFIN"
"61",257,"TUNA, RESTRICTED"
"62",259,"TUNA, UNSPECIFIED"
"63",260,"BILLFISH"
"64",261,"MARLIN BLUE"
"65",262,"MARLIN WHITE"
"66",263,"MAHI MAHI (DOLPHIN)"
"67",270,"ESCOLAR"
"68",299,"PELAGIC, UNSPECIFIED"
"69",350,"ALEWIVES/GASPEREAU"
"70",351,"ARGENTINE"
"71",352,"EEL"
"72",354,"SALMON"
"73",355,"SHAD"
"74",357,"SMELTS"
"75",358,"STRIPED BASS"
"76",359,"STURGEON"
"77",360,"CAPELIN"
"78",361,"ARCTIC CHAR"
"79",363,"TROUT"
"80",364,"SILVERSIDE"
"81",365,"WHITE PERCH"
"82",366,"PICKEREL"
"83",367,"SUCKERS (MULLET, ETC)"
"84",368,"WHITEFISH"
"85",369,"SHARK, PORBEAGLE/MACKEREL"
"86",370,"SHARK, GREENLAND"
"87",371,"SHARK, BASKING"
"88",372,"SHARK, BLUE"
"89",375,"SHARK, MAKO"
"90",376,"SHARK, HAMMERHEAD"
"91",379,"SHARK, UNSPECIFIED"
