"SPECCD_ID","SCIENTIFIC","COMMON","MARFIS_CODE"
1,"ALUTERUS SCHOEPFI","ORANGE FILEFISH",NA
2,"ALUTERUS SCRIPTUS","FILEFISH,SCRAWLED",NA
3,"BALISTES CAPRISCUS","GRAY TRIGGERFISH",NA
4,"BALISTES VETULA","QUEEN TRIGGERFISH",NA
5,"MONACANTHUS CILIATUS","FRINGED FILEFISH",NA
6,"STEPHANOLEPIS HISPIDUS","PLANEHEAD FILEFISH",NA
7,"MENTICIRRHUS SAXATILIS","NORTHERN KINGFISH",NA
8,"BOTHUS SP.","BOTHUS SP.",NA
9,"ENGRAULIS EURYSTOLE","SILVER ANCHOVY",NA
10,"GADUS MORHUA","COD(ATLANTIC)",100
11,"MELANOGRAMMUS AEGLEFINUS","HADDOCK",110
12,"UROPHYCIS TENUIS","WHITE HAKE",171
13,"UROPHYCIS CHUSS","SQUIRREL OR RED HAKE",180
14,"MERLUCCIUS BILINEARIS","SILVER HAKE",172
15,"BROSME BROSME","CUSK",173
16,"POLLACHIUS VIRENS","POLLOCK",170
17,"MICROGADUS TOMCOD","TOMCOD(ATLANTIC)",175
18,"GADIFORMES","HAKE (NS)",NA
19,"MERLUCCIUS ALBIDUS","OFF-SHORE HAKE",NA
20,"SEBASTES MARINUS","REDFISH",NA
21,"SEBASTES MENTELLA","REDFISH, DEEP WATER",NA
22,"BONAPARTIA PEDIOLOTA","BONAPARTIA PEDIOLOTA",NA
23,"SEBASTES SP.","REDFISH UNSEPARATED",120
24,"MORONE SAXATILIS","STRIPED BASS",358
25,"LOPHOLATILUS CHAMAELEONTICEPS","TILE FISH",NA
26,"SCORPAENA CALCARATA","SMOOTHHEAD SCORPIONFISH",NA
27,"LEPIDOCYBIUM FLAVOBRUNNEUM","ESCOLAR",270
28,"NEALOTUS TRIPES","NEALOTUS TRIPES",NA
29,"RUVETTUS PRETIOSUS","OILFISH",NA
30,"HIPPOGLOSSUS HIPPOGLOSSUS","HALIBUT(ATLANTIC)",130
31,"REINHARDTIUS HIPPOGLOSSOIDES","TURBOT,GREENLAND HALIBUT",144
32,"TETRAPTERUS ALBIDUS","WHITE MARLIN",262
33,"MAKAIRA NIGRICANS","BLUE MARLIN",261
34,"ENGRAULIDAE F.","ANCHOVIES",NA
35,"MERLUCCIUS SP.","HAKE",NA
36,"LABRIDAE F.","WRASSES",NA
37,"ECHIODON DAWSONI","PEARLFISH,CHAIN",NA
38,"PSEUDOSCOPELUS SP.","SWALLOWERS",NA
39,"CHIASMODON NIGER","BLACK SWALLOWER",NA
40,"HIPPOGLOSSOIDES PLATESSOIDES","AMERICAN PLAICE",140
41,"GLYPTOCEPHALUS CYNOGLOSSUS","WITCH FLOUNDER",142
42,"LIMANDA FERRUGINEA","YELLOWTAIL FLOUNDER",141
43,"PSEUDOPLEURONECTES AMERICANUS","WINTER FLOUNDER",143
44,"CITHARICHTHYS ARCTIFRONS","GULF STREAM FLOUNDER",NA
45,"BOTHUS OCELLATUS","EYED FLOUNDER",NA
46,"SPHYRAENA BOREALIS","NORTHERN SENNET",NA
47,"MUGIL CUREMA","WHITE MULLET",NA
48,"MUGIL CEPHALUS","STRIPED MULLET",NA
49,"PLEURONECTIDAE F.","FLOUNDER UNIDENTIFIED",149
50,"ANARHICHAS LUPUS","STRIPED ATLANTIC WOLFFISH",192
51,"ANARHICHAS MINOR","SPOTTED WOLFFISH",193
52,"ANARHICHAS DENTICULATUS","NORTHERN WOLFFISH",191
53,"TAUTOGA ONITIS","TAUTOG",NA
54,"ABUDEFDUF SAXATILIS","SERGEANT MAJOR",NA
55,"MOLVA MOLVA","EUROPEAN LING",NA
56,"MOLVA DYPTERYGIA","BLUE LING",NA
57,"PHYCINAE S.F.","PHYCINAE S.F.",NA
58,"ANCHOA HEPSETUS","STRIPED ANCHOVY",NA
59,"ANARHICHADIDAE F.","WOLFFISH,UNIDENT.",194
60,"CLUPEA HARENGUS","HERRING(ATLANTIC)",200
61,"ALOSA SAPIDISSIMA","SHAD AMERICAN",355
62,"ALOSA PSEUDOHARENGUS","ALEWIFE",350
63,"OSMERUS MORDAX","RAINBOW SMELT",NA
64,"MALLOTUS VILLOSUS","CAPELIN",360
65,"SALMO SALAR","SALMON(ATLANTIC)",354
66,"COREGONUS CLUPEAFORMIS","LAKE WHITEFISH",NA
67,"COREGONUS CANADENSIS","ATLANTIC WHITEFISH",NA
68,"ONCORHYNCHUS GORBUSCHA","PINK SALMON",NA
69,"SALMO GAIRDNERI","RAINBOW TROUT",NA
70,"SCOMBER SCOMBRUS","MACKEREL(ATLANTIC)",250
71,"THUNNUS THYNNUS","BLUEFIN TUNA",254
72,"XIPHIAS GLADIUS","SWORDFISH",251
73,"SCOMBROIDEI (SUBORDER)","TUNAS,SWORDFISHES,ETC.",NA
74,"SERIOLA ZONATA","BANDED RUDDERFISH",NA
75,"SALMO TRUTTA","BROWN TROUT",NA
76,"SALVELINUS ALPINUS","ARCTIC CHAR",361
77,"SALVELINUS FONTINALIS","BROOK TROUT",NA
78,"COOKEOLUS BOOPS","BULLEYE",NA
79,"PRIACANTHUS CRUENTATUS","GLASSEYE SNAPPER",NA
80,"DECAPTERUS PUNCTATUS","ROUND SCAD",NA
81,"POMATOMUS SALTATRIX","BLUEFISH",NA
82,"ECHENEIS NAUCRATES","SHARKSUCKER",NA
83,"REMORA BRACHYPTERA","SPEARFISH REMORA",NA
84,"REMORA REMORA","REMORA",NA
85,"CARANX CRYSOS","BLUE RUNNER",NA
86,"CARANX HIPPOS","CREVALLE JACK",NA
87,"DECAPTERUS MACARELLUS","MACKEREL SCAD",NA
88,"NAUCRATES DUCTOR","PILOTFISH",NA
89,"SELAR CRUMENOPHTHALMUS","BIGEYE SCAD",NA
90,"UNID. FISH (LARVAE,JUVENILE AND ADULTS)","UNID. FISH",NA
